index,Rk,Player,Pos,Tm,Cap Hit
596,,Nick Foles,QB,PHI,1000000
597,,Corey Graham,DB,PHI,1000000
598,,Kelvin Benjamin,WR,2TM,1000000
599,,Ross Cockrell,CB,NYG,1000000
600,,Pat Sims,DT,CIN,1000000
601,,Ryan Mallett,QB,BAL,1000000
602,,Sherrick McManis,DB,CHI,1000000
603,,Karlos Dansby,LB,ARI,1000000
604,,Willie Young,DE,CHI,1000000
605,,La'el Collins,OT,DAL,1000000
606,,Daniel Kilgore,OL,SFO,1000000
607,,Mike Adams,DB,CAR,1000000
608,,Luke Willson,TE,SEA,1000000
609,,Byron Bell,T,DAL,1000000
610,,Eric Weems,WR,TEN,1000000
611,,Tom Compton,T,CHI,1000000
612,,David Harris,LB,NWE,1000000
613,,Mario Addison,DE,CAR,1000000
614,,Beau Brinkley,LSTE,TEN,1000000
615,,Jeremy Maclin,WR,BAL,1000000
616,,Lance Dunbar,RB,LAR,1000000
617,,Kellen Clemens,QB,LAC,1000000
618,,Terrance Williams,WR,DAL,1000000
619,,Justin Durant,LB,DAL,1000000
620,,Alshon Jeffery,WR,PHI,1000000
621,,Breno Giacomini,G,HOU,1000000
622,,Christian Jones,ILB,CHI,1000000
623,,Stephon Tuitt,DT,PIT,1000000
624,,Don Muhlbach,C,DET,1000000
625,,Lee Smith,TE,OAK,1000000
626,,Kamar Aiken,WR,IND,1000000
627,,Mason Crosby,K,GNB,1000000
628,,Danny Woodhead,RB,BAL,1000000
629,,Chris Long,DE,PHI,1000000
630,,Jon Ryan,P,SEA,1000000
631,,Tramon Williams,DB,ARI,1000000
632,,Derrick Johnson,LB,KAN,1000000
633,,Zak DeOssie,LB,NYG,1000000
634,,Tom Brady,QB,NWE,1000000
635,,Adrian Peterson,RB,2TM,1000000
636,,Kasim Edebali,OLB,2TM,1000000
637,,Stephen Paea,DT,DAL,1000000
638,,Tyvon Branch,DB,ARI,1000000
639,,Julius Peppers,DE,CAR,1000000
640,,Anthony Castonzo,OL,IND,1000000
641,,Matthew Stafford,QB,DET,1000000
642,,Darius Butler,DB,IND,1000000
643,,Jack Doyle,TE,IND,1000000
644,,Joe Berger,T,MIN,1000000
645,,Andy Lee,P,ARI,1000000
646,,Mitch Unrein,DT,CHI,1000000
647,,Jonathan Cooper,OG,DAL,1000000
648,,Ryan Schraeder,T,ATL,1000000
649,,Jon Condo,LB,OAK,1000000
650,,Nick Folk,K,TAM,1000000
651,,Brandon Fusco,OL,SFO,1000000
652,,Zach Kerr,NT,DEN,1000000
653,,Nolan Carroll,DB,DAL,1000000
654,,John Kuhn,FB,NOR,1000000
655,,Ahmad Brooks,LB,GNB,1000000
656,,Keenan Allen,WR,LAC,1000000
657,658,Jeremiah Attaochu,OLB,LAC,993150
658,659,Landon Collins,SS,NYG,991415
659,660,Kyle Van Noy,OLB,NWE,990741
660,661,Karl Joseph,SS,OAK,990196
661,662,Darqueze Dennard,CB,CIN,988032
662,663,Donovan Smith,OT,TAM,986715
663,664,Mario Edwards,DE,OAK,982015
664,665,Corey Coleman,WR,CLE,979773
665,666,Rhett Ellison,FB,NYG,975000
666,,Ted Larsen,C,MIA,975000
667,,Don Carey,DB,DET,975000
668,,Kyle Nelson,TE,SFO,975000
669,670,T.J. Yeldon,RB,JAX,972617
670,671,Troy Niklas,TE,ARI,968632
671,672,Preston Smith,DE,WAS,960395
672,673,Dee Ford,DE,KAN,957704
673,674,Davante Adams,WR,GNB,956373
674,675,Eddie Goldman,DT,CHI,951938
675,676,Case Keenum,QB,MIN,950000
676,,Derek Carrier,WR,LAR,950000
677,,Jayrone Elliott,LB,DAL,950000
678,,Reshad Jones,DB,MIA,950000
679,680,Taylor Decker,OT,DET,948499
680,681,T.J. McDonald,FS,MIA,944445
681,682,Keanu Neal,FS,ATL,938075
682,683,Austin Seferian-Jenkins,TE,NYJ,936690
683,684,Alex Okafor,DE,NOR,935000
684,685,Cody Latimer,WR,DEN,925725
685,686,Ryan Kelly,C,IND,925045
686,687,John Jerry,G,NYG,925000
687,688,Benardrick McKinney,ILB,HOU,920921
688,689,Shaq Lawson,DE,BUF,917226
689,690,Darron Lee,OLB,NYJ,914620
690,691,Hau'oli Kikaha,OLB,NOR,913755
691,692,Will Fuller,WR,HOU,912014
692,693,Antonio Brown,WR,PIT,910000
693,694,Jack Mewhort,OT,IND,907337
694,695,Josh Doctson,WR,WAS,906802
695,696,Eric Kendricks,ILB,MIN,903720
696,697,Laquon Treadwell,WR,MIN,901590
697,698,Rey Maualuga,LB,MIA,900000
698,,Eric Berry,DB,KAN,900000
699,,Mike Tolbert,RB,BUF,900000
700,,Anthony Levine,S,BAL,900000
701,,Captain Munnerlyn,DB,CAR,900000
702,,Ramon Humber,LB,BUF,900000
703,,Kendall Langford,DE,HOU,900000
704,,Tavon Wilson,FS,DET,900000
705,,Joe Webb,WR,BUF,900000
706,,LeGarrette Blount,RB,PHI,900000
707,,Morgan Cox,C,BAL,900000
708,,Demario Davis,OLB,NYJ,900000
709,,Phillip Supernaw,TE,TEN,900000
710,,Tramaine Brock,DB,MIN,900000
711,,Sam Young,T,MIA,900000
712,,Connor Barth,K,CHI,900000
713,,Jon Weeks,C,HOU,900000
714,,Nick Sundberg,C,WAS,900000
715,,Frank Zombo,LB,KAN,900000
716,,Alterraun Verner,DB,MIA,900000
717,,Garrison Sanborn,C,TAM,900000
718,,Latavius Murray,RB,MIN,900000
719,,J.J. Jansen,C,CAR,900000
720,,Brett Goode,LB,GNB,900000
721,,Chandler Catanzaro,K,NYJ,900000
722,,Martellus Bennett,TE,2TM,900000
723,,Lamarr Houston,DT,2TM,900000
724,,Jamaal Charles,RB,DEN,900000
725,,Lawrence Guy,DT,NWE,900000
726,,John Sullivan,C,LAR,900000
727,,Matt Slater,WR,NWE,900000
728,,Evander Hood,DT,WAS,900000
729,,Brandon Tate,WR,BUF,900000
730,,Roy Miller,DT,KAN,900000
731,,Blaine Gabbert,QB,ARI,900000
732,,Glover Quin,DB,DET,900000
733,,Colt Anderson,DB,BUF,900000
734,,Caleb Sturgis,K,PHI,900000
735,,Mike Windt,C,LAC,900000
736,,John Denney,DE-C,MIA,900000
737,,Chase Daniel,QB,NOR,900000
738,,Darren McFadden,RB,DAL,900000
739,,Lardarius Webb,DB,BAL,900000
740,741,Allen Robinson,WR,JAX,898755
741,742,Jarvis Landry,WR,MIA,893852
742,743,Justin Britt,OT,SEA,891400
743,744,William Jackson,CB,CIN,891166
744,745,Michael Floyd,WR,MIN,887058
745,746,Artie Burns,CB,PIT,885954
746,747,Darryl Tapp,DE,TAM,882353
747,748,Jeremy Hill,RB,CIN,881855
748,749,Paxton Lynch,QB,DEN,880741
749,750,Eric Rowe,CB,NWE,878623
750,751,Kenny Clark,DT,GNB,875529
751,752,Ryan Griffin,TE,HOU,875000
752,753,Jason Verrett,CB,LAC,860000
753,754,Fozzy Whittaker,RB,CAR,850000
754,,Manti Te'o,ILB,NOR,850000
755,,Colton Schmidt,P,BUF,850000
756,,LaRoy Reynolds,LB,ATL,850000
757,,Chris Banjo,S,NOR,850000
758,,Nate Palmer,LB,TEN,850000
759,,Vlad Ducasse,G,BUF,850000
760,,Matt Tobin,T,SEA,850000
761,762,Chris Johnson,RB,ARI,847059
762,763,Nate Orchard,OLB,CLE,841028
763,764,Robert Nkemdiche,DT,ARI,840936
764,765,Keith Tandy,S,TAM,840000
765,766,Devin Funchess,WR,CAR,836900
766,767,Mitch Morse,OT,KAN,834826
767,768,Denzel Perryman,ILB,LAC,831724
768,769,Vernon Butler,DT,CAR,831660
769,770,Jordan Phillips,DT,MIA,831628
770,771,Germain Ifedi,OT,SEA,825687
771,772,Nate Ebner,DB,NWE,825000
772,773,Carlos Hyde,RB,SFO,822047
773,774,Jimmy Garoppolo,QB,SFO,820077
774,775,Kony Ealy,DE,NYJ,803660
775,776,Maxx Williams,TE,BAL,803431
776,777,Ronald Darby,CB,PHI,800426
777,778,Michael Wilhoite,LB,SEA,800000
778,,Sealver Siliga,DT,TAM,800000
779,,Neiko Thorpe,DB,SEA,800000
780,,Lance Kendricks,TE,GNB,800000
781,,Bradley McDougald,FS,SEA,800000
782,,Shareece Wright,DB,BUF,800000
783,,LaAdrian Waddle,T,NWE,800000
784,,Joe Looney,G,DAL,800000
785,,Kevin Minter,ILB,CIN,800000
786,,James Develin,RB,NWE,800000
787,,Robert Turbin,RB,IND,800000
788,,Andre Holmes,WR,BUF,800000
789,,Chris Jones,P,DAL,800000
790,,Brice Butler,WR,DAL,800000
791,,Blair Walsh,K,SEA,800000
792,793,Trai Turner,OG,CAR,797000
793,794,Rob Havenstein,OT,LAR,795911
794,795,Ricky Jean-Francois,DT,2TM,794118
795,796,Billy Turner,OT,DEN,794000
796,797,Jaquiski Tartt,SS,SFO,792910
797,798,Markus Golden,OLB,ARI,791212
798,799,Ty Sambrailo,OT,ATL,784633
799,800,Brandin Cooks,WR,NWE,781599
800,801,Josh Harris,LS,ATL,780000
801,802,Ha Ha Clinton-Dix,FS,GNB,778534
802,803,Quinten Rollins,CB,GNB,775233
803,804,Quinton Dial,DE,GNB,775001
804,805,Austin Davis,QB,SEA,775000
805,,Josh Bynes,LB,ARI,775000
806,,Brandon Williams,TE,IND,775000
807,,Geno Smith,QB,NYG,775000
808,,Chris Carter,DL,WAS,775000
809,,Colin Jones,DB,CAR,775000
810,,Josh Bellamy,WR,CHI,775000
811,,Terence Garvin,LB,SEA,775000
812,,Brian Quick,WR,WAS,775000
813,,Jaron Brown,WR,ARI,775000
814,,Rashaan Melvin,CB,IND,775000
815,,Zach Ertz,TE,PHI,775000
816,,Coty Sensabaugh,CB,PIT,775000
817,,Julian Stanford,LB,NYJ,775000
818,,Brandon Williams,DT,BAL,775000
819,,A.Q. Shipley,C,ARI,775000
820,,John Jenkins,DT,CHI,775000
821,,Jimmy Smith,CB,BAL,775000
822,,Taiwan Jones,RB,BUF,775000
823,,Wes Horton,DE,CAR,775000
824,,Sam Acho,OLB,CHI,775000
825,,Randy Bullock,K,CIN,775000
826,,Dennis Kelly,OT,TEN,775000
827,,Bruce Carter,LB,NYJ,775000
828,,Cameron Heyward,DE,PIT,775000
829,,Amini Silatolu,T,CAR,775000
830,,Blidi Wreh-Wilson,CB,ATL,775000
831,,Brock Osweiler,QB,DEN,775000
832,,Jordan Todman,RB,HOU,775000
833,,Josh LeRibeus,G,NOR,775000
834,,Rafael Bush,S,NOR,775000
835,,Oday Aboushi,OT,SEA,775000
836,,Tyrunn Walker,DL,LAR,775000
837,,Andre Ellington,RB,2TM,775000
838,,Ryan Davis,DE,BUF,775000
839,,Darryl Morris,CB,NYG,775000
840,,J.T. Thomas,LB,NYG,775000
841,,Jake McQuaide,LS,LAR,775000
842,,Benny Cunningham,RB,CHI,775000
843,,Tony Bergstrom,OT,2TM,775000
844,,Courtney Upshaw,OLB,ATL,775000
845,,Robert McClain,DB,TAM,775000
846,,Kevin McDermott,LS,MIN,775000
847,,Brian Schwenke,C,TEN,775000
848,,EJ Manuel,QB,OAK,775000
849,,Stefen Wisniewski,OL,PHI,775000
850,,Ben Jacobs,LB,CAR,775000
851,,Nickell Robey-Coleman,CB,LAR,775000
852,,Sterling Moore,CB,NOR,775000
853,,Jeremy Kerley,WR,NYJ,775000
854,,Austin Pasztor,OL,ATL,775000
855,,Kai Forbath,K,MIN,775000
856,,Rodney McLeod,S,PHI,775000
857,,Arrelious Benn,WR,JAX,775000
858,,Junior Galette,DE,WAS,775000
859,,Patrick Omameh,G,JAX,775000
860,,Doug Baldwin,WR,SEA,775000
861,,Leonard Johnson,CB,BUF,775000
862,,Najee Goode,ILB,PHI,775000
863,,Bradley Sowell,T,CHI,775000
864,,Cedric Thornton,DT,BUF,775000
865,,MarQueis Gray,TE,MIA,775000
866,,Jarvis Jenkins,DL,KAN,775000
867,,Patrick Robinson,DB,PHI,775000
868,,Aaron Brewer,LS,ARI,775000
869,,Justin Hunter,WR,PIT,775000
870,,Brandon Bolden,RB,NWE,775000
871,,Matt Overton,LS,JAX,775000
872,,Ryan Quigley,P,MIN,775000
873,,Kyle Love,DT,CAR,775000
874,,Damion Square,DE,LAC,775000
875,,David Bakhtiari,OT,GNB,775000
876,,Logan Paulsen,TE,SFO,775000
877,878,Frank Clark,DE,SEA,774294
878,879,Jordan Richards,SS,NWE,772413
879,880,Jake Fisher,OT,CIN,772229
880,881,Charles Sims,RB,TAM,764000
881,882,Chance Warmack,OG,PHI,760000
882,883,Emmanuel Ogbah,DE,CLE,750438
883,884,Branden Oliver,RB,LAC,750000
884,,Josh Mauro,DE,ARI,750000
885,886,Kevin Dodd,DE,TEN,747832
886,887,Jaylon Smith,OLB,DAL,745226
887,888,Hunter Henry,TE,LAC,740014
888,889,Myles Jack,OLB,JAX,737929
889,890,Sean Mannion,QB,LAR,730037
890,891,Steven Johnson,LB,2TM,729412
891,,Jeff Locke,P,DET,729412
892,,Asa Jackson,CB,SFO,729412
893,,Nick Bellore,LB,DET,729412
894,,Sean Spence,LB,2TM,729412
895,896,Jelani Jenkins,OLB,HOU,729411
896,897,Xavien Howard,CB,MIA,728547
897,898,Jay Bromley,DT,NYG,725000
898,899,Noah Spence,DE,TAM,724377
899,900,A.J. Cann,OG,JAX,721000
900,901,Sterling Shepard,WR,NYG,720208
901,902,Reggie Ragland,ILB,KAN,715517
902,903,Kamalei Correa,OLB,BAL,711347
903,904,Clive Walford,TE,OAK,710646
904,905,Kareem Martin,DE,ARI,710000
905,906,Chris Jones,DT,KAN,708238
906,907,Austin Johnson,DT,TEN,707374
907,908,Leon Hall,DB,SFO,705882
908,909,Terrence Brooks,FS,NYJ,705000
909,910,Ali Marpet,C,TAM,703054
910,911,Jihad Ward,DE,OAK,701809
911,912,Jerick McKinnon,RB,MIN,700000
912,,Tre Boston,FS,LAC,700000
913,,Charcandrick West,RB,KAN,700000
914,,Logan Thomas,TE,BUF,700000
915,,Darren Fells,TE,DET,700000
916,,James Hurst,OT,BAL,700000
917,,Phillip Gaines,CB,KAN,700000
918,,Michael Campanaro,WR,BAL,700000
919,,Jonotthan Harrison,C,NYJ,700000
920,921,Derrick Henry,RB,TEN,695815
921,922,Tyler Lockett,WR,SEA,695000
922,923,Alfred Blue,RB,HOU,690000
923,,Derrick Coleman,RB,ATL,690000
924,,Steven Terrell,DB,KAN,690000
925,,Tyler Shatley,OG,JAX,690000
926,,Tommy Bohanon,FB,JAX,690000
927,,Antone Exum,CB,SFO,690000
928,,Pierre Desir,CB,IND,690000
929,,Nick Williams,WR,ATL,690000
930,,Mike Pennel,DT,NYJ,690000
931,,Ty Nsekhe,T,WAS,690000
932,,Terrance Mitchell,CB,KAN,690000
933,,Chris Smith,DE,CIN,690000
934,,Kenneth Acker,CB,KAN,690000
935,,De'Anthony Thomas,RB,KAN,690000
936,,Tom Savage,QB,HOU,690000
937,,Daniel Sorensen,S,KAN,690000
938,,Ryan Grant,WR,WAS,690000
939,,Laurent Duvernay-Tardif,OT,KAN,690000
940,,Marcus Burley,CB,HOU,690000
941,,Daniel McCullers,DT,PIT,690000
942,,Marquis Flowers,OLB,NWE,690000
943,,Beau Allen,DT,PHI,690000
944,,Marcus Smith,DE,SEA,690000
945,,Walt Aikens,CB,MIA,690000
946,,Bruce Ellington,WR,HOU,690000
947,,Jimmie Ward,SS,SFO,690000
948,,Corey Nelson,OLB,DEN,690000
949,,Nat Berhe,SS,NYG,690000
950,,Orleans Darkwa,RB,NYG,690000
951,,Brent Urban,DE,BAL,690000
952,,Dontae Johnson,FS,SFO,690000
953,,David King,DE,TEN,690000
954,,Andrew DePaola,LS,CHI,690000
955,,T.J. Jones,WR,DET,690000
956,,Jordan Tripp,OLB,ATL,690000
957,,Adarius Glanton,LB,TAM,690000
958,,Cameron Brate,TE,TAM,690000
959,,Jake Matthews,OT,ATL,690000
960,,Keith McGill,CB,OAK,690000
961,,Dakota Dozier,OT,NYJ,690000
962,,Sammy Watkins,WR,LAR,690000
963,,Will Clarke,DE,TAM,690000
964,,Pat O'Donnell,P,CHI,690000
965,,Jerel Worthy,DT,BUF,690000
966,,Ben Garland,DL,ATL,690000
967,,James White,RB,NWE,690000
968,,Jonathan Bostic,LB,IND,690000
969,,Mike Evans,WR,TAM,690000
970,,Khalil Mack,OLB,OAK,690000
971,,Kevin Pierre-Louis,OLB,KAN,690000
972,,Jadeveon Clowney,DE,HOU,690000
973,,Kenny Wiggins,T,LAC,690000
974,,Luke Bowanko,C,BAL,690000
975,,Dustin Hopkins,K,WAS,690000
976,,Keith Smith,LB,DAL,690000
977,,Brandon Dunn,DT,HOU,690000
978,,Jay Prosch,FB,HOU,690000
979,,A.J. McCarron,QB,CIN,690000
980,,Terrence Fede,DE,MIA,690000
981,,Jaylen Watkins,CB,PHI,690000
982,,Adrian Phillips,DB,LAC,690000
983,,Joe Banyard,RB,BUF,690000
984,,Cody Parkey,K,MIA,690000
985,,Brittan Golden,WR,ARI,690000
986,,Steven Means,DE,PHI,690000
987,,Dewey McDonald,S,SEA,690000
988,,Peyton Thompson,CB,JAX,690000
989,,Jeff Janis,WR,GNB,690000
990,,Jeremiah Sirles,OT,MIN,690000
991,,Kerwynn Williams,RB,ARI,690000
992,,Bene Benwikere,CB,DAL,690000
993,,Cassius Marsh,DE,2TM,690000
994,995,Nick Novak,K,LAC,688235
995,,John Hughes,DT,NOR,688235
996,,John Greco,T,NYG,688235
997,998,A'Shawn Robinson,DT,DET,687892
998,999,Ameer Abdullah,RB,DET,687830
999,1000,Hroniss Grasu,C,CHI,687500
1000,1001,Jamon Brown,OT,LAR,686686
1001,1002,George Johnson,DE,2TM,683824
1002,,Johnthan Banks,CB,HOU,683824
1003,,Robert Blanton,CB,BUF,683824
1004,,David Bass,DE,2TM,683824
1005,1006,Damontre Moore,DE,DAL,683823
1006,1007,Michael Thomas,WR,NOR,682681
1007,1008,Tevin Coleman,RB,ATL,680000
1008,1009,Jason Spriggs,OT,GNB,677468
1009,1010,Jarran Reed,DT,SEA,672256
1010,1011,Nick Martin,C,HOU,667044
1011,1012,Deion Jones,OLB,ATL,656620
1012,1013,David Amerson,CB,OAK,650000
1013,1014,Cornelius Lucas,T,LAR,649412
1014,1015,Jordan Devey,T,KAN,649408
1015,1016,Mackensie Alexander,CB,MIN,646196
1016,1017,Jaelen Strong,WR,2TM,644705
1017,1018,Tyler Boyd,WR,CIN,643589
1018,1019,Duke Johnson,RB,CLE,642500
1019,1020,Cody Whitehair,OG,CHI,642026
1020,1021,P.J. Williams,CB,NOR,640000
1021,1022,T.J. Green,FS,IND,639420
1022,1023,Tim Lelito,G,DET,638235
1023,1024,Danielle Hunter,DE,MIN,636000
1024,1025,Sean Davis,FS,PIT,635771
1025,1026,Justin Drescher,C,ARI,635292
1026,1027,Chris Conley,WR,KAN,635000
1027,1028,Eli Harold,OLB,SFO,634000
1028,1029,Jordan Hicks,OLB,PHI,633000
1029,1030,Carl Davis,DT,BAL,630750
1030,1031,Vonn Bell,SS,NOR,630559
1031,1032,Chaz Green,OT,DAL,630375
1032,1033,James Bradberry,CB,CAR,630038
1033,1034,Henry Anderson,DE,IND,629500
1034,1035,Adam Gotsis,DT,DEN,628996
1035,1036,Tyler Kroft,TE,CIN,628000
1036,1037,Ty Montgomery,WR/RB,GNB,625000
1037,1038,Kevin Byard,S,TEN,618566
1038,1039,Steven Nelson,CB,KAN,618500
1039,1040,Carl Nassib,DE,CLE,618110
1040,1041,Max Garcia,C,DEN,615000
1041,,Matt Paradis,C,DEN,615000
1042,,Jon Feliciano,OG,OAK,615000
1043,,Thomas Rawls,RB,SEA,615000
1044,,Amari Cooper,WR,OAK,615000
1045,,Trey Flowers,DE,NWE,615000
1046,,Sean McGrath,TE,LAC,615000
1047,,Xavier Williams,DT,ARI,615000
1048,,Trent Brown,OT,SFO,615000
1049,,John Miller,OG,BUF,615000
1050,,Rodney Gunter,DT,ARI,615000
1051,,Josh Wells,T,JAX,615000
1052,,T.J. Clemmings,OT,WAS,615000
1053,,Seth Roberts,WR,OAK,615000
1054,,Geremy Davis,WR,LAC,615000
1055,,Darrell Williams,T,LAR,615000
1056,,Jason Myers,K,JAX,615000
1057,,Andrew Donnal,OT,BAL,615000
1058,,Za'Darius Smith,DE,BAL,615000
1059,,Quinton Dunbar,WR,WAS,615000
1060,,Marcus Mariota,QB,TEN,615000
1061,,Jalston Fowler,FB,TEN,615000
1062,,Bradley Pinion,P,SFO,615000
1063,,Jesse James,TE,PIT,615000
1064,,Cameron Artis-Payne,RB,CAR,615000
1065,,Ibraheim Campbell,SS,2TM,615000
1066,,Quan Bray,WR,IND,615000
1067,,Jay Ajayi,RB,2TM,615000
1068,,Brett Jones,C,NYG,615000
1069,,Denzelle Good,OT,IND,615000
1070,,Jamison Crowder,WR,WAS,615000
1071,,Aaron Ripkowski,FB,GNB,615000
1072,,Jonathan Anderson,LB,CHI,615000
1073,,Will Tye,TE,NYJ,615000
1074,,Chris McCain,LB,LAC,615000
1075,,Greg Van Roten,G,CAR,615000
1076,,Anthony Harris,DB,MIN,615000
1077,,Matt Longacre,DE,LAR,615000
1078,,Bobby Hart,OG,NYG,615000
1079,,JJ Nelson,WR,ARI,615000
1080,,Jameis Winston,QB,TAM,615000
1081,,Neal Sterling,WR,NYJ,615000
1082,,Darryl Roberts,CB,NYJ,615000
1083,,David Andrews,C,NWE,615000
1084,,Ladarius Gunter,CB,2TM,615000
1085,,C.J. Uzomah,TE,CIN,615000
1086,,Kevin White,WR,CHI,615000
1087,,Chris Boswell,K,PIT,615000
1088,,Raheem Mostert,RB,SFO,615000
1089,,Daryl Williams,OT,CAR,615000
1090,,A.J. Derby,TE,2TM,615000
1091,,Kendall Lamm,T,HOU,615000
1092,,Adrian Amos,FS,CHI,615000
1093,,Grady Jarrett,DT,ATL,615000
1094,,Nick O'Leary,TE,BUF,615000
1095,,Justin Hardy,WR,ATL,615000
1096,,Brent Qvale,T,NYJ,615000
1097,,Mike Hull,ILB,MIA,615000
1098,,Christian Covington,DT,HOU,615000
1099,,James O'Shaughnessy,TE,JAX,615000
1100,,Brandon Coleman,WR,NOR,615000
1101,,Shelby Harris,DE,DEN,615000
1102,,Leonard Williams,DT,NYJ,615000
1103,,Brett Hundley,QB,GNB,615000
1104,,Joe Thomas,LB,GNB,615000
1105,,Kwon Alexander,OLB,TAM,615000
1106,,T.Y. McGill,DT,CLE,615000
1107,,Tyrell Williams,WR,LAC,615000
1108,,Quinton Spain,OG,TEN,615000
1109,,Greg Mancz,C,HOU,615000
1110,,Nick Easton,C,MIN,615000
1111,,Darius Philon,DT,LAC,615000
1112,,Michael Burton,FB,CHI,615000
1113,,Justin Coleman,CB,SEA,615000
1114,,Deshazor Everett,CB,WAS,615000
1115,,Damien Wilson,ILB,DAL,615000
1116,,Brian Peters,LB,HOU,615000
1117,,Bennie Fowler,WR,DEN,615000
1118,,Jamie Meder,DT,CLE,615000
1119,,Martavis Bryant,WR,PIT,615000
1120,,Sammie Coates,WR,CLE,615000
1121,,David Mayo,ILB,CAR,615000
1122,,Clayton Geathers,SS,IND,615000
1123,,Tyler Patmon,CB,JAX,615000
1124,,Javorius Allen,RB,BAL,615000
1125,,Ramik Wilson,ILB,KAN,615000
1126,,Bobby McCain,CB,MIA,615000
1127,,Nick Boyle,TE,BAL,615000
1128,,Mark Glowinski,OG,SEA,615000
1129,,Shaquil Barrett,OLB,DEN,615000
1130,,Stefon Diggs,WR,MIN,615000
1131,,Brandon Scherff,G,WAS,615000
1132,,Blake Bell,TE,MIN,615000
1133,,Martrell Spaight,OLB,WAS,615000
1134,,Ricardo Allen,CB,ATL,615000
1135,,Roosevelt Nix,LB,PIT,615000
1136,,Trevor Siemian,QB,DEN,615000
1137,,Tyeler Davison,DT,NOR,615000
1138,,Brandon King,DB,NWE,615000
1139,,Daniel Brown,WR,CHI,615000
1140,,Bryce Hager,ILB,LAR,615000
1141,,Kyle Emanuel,OLB,LAC,615000
1142,,Dexter McDonald,CB,OAK,615000
1143,,Vic Beasley,OLB,ATL,615000
1144,,Lorenzo Doss,CB,DEN,615000
1145,,Willie Snead,WR,NOR,615000
1146,,Corey Grant,RB,JAX,615000
1147,,Dion Jordan,DE,SEA,615000
1148,,Rakeem Nunez-Roches,DT,KAN,615000
1149,,Jake Ryan,OLB,GNB,615000
1150,,K'Waun Williams,DB,SFO,615000
1151,,Quandre Diggs,CB,DET,615000
1152,,Rod Smith,RB,DAL,615000
1153,,D.J. Alexander,OLB,SEA,615000
1154,,Leterrius Walton,DT,PIT,615000
1155,,Anthony Steen,OG,MIA,615000
1156,,Khari Lee,TE,BUF,615000
1157,,Zach Zenner,RB,DET,615000
1158,,Hayes Pullard,ILB,LAC,615000
1159,,David Johnson,RB,ARI,615000
1160,,Joe Cardona,LS,NWE,615000
1161,,Terron Ward,RB,ATL,615000
1162,,Kurtis Drummond,S,HOU,615000
1163,,Anthony Chickillo,DE,PIT,615000
1164,,Josh Shaw,CB,CIN,615000
1165,,Jordan Berry,P,PIT,615000
1166,,Ayodeji Olatoye,DB,2TM,615000
1167,,Geoff Swaim,TE,DAL,615000
1168,,Zac Kerin,C,DET,615000
1169,,Bryce Callahan,CB,CHI,615000
1170,,Jared Abbrederis,WR,DET,615000
1171,,Charley Hughlett,LS,CLE,615000
1172,,Josh Walker,G,JAX,615000
1173,,Craig Mager,CB,LAC,615000
1174,,Shaq Mason,C,NWE,615000
1175,,Chris Matthews,WR,BAL,615000
1176,,Corey Robinson,OT,DET,615000
1177,,Tre McBride,WR,CHI,615000
1178,,Jeremiah George,ILB,IND,615000
1179,,Derron Smith,FS,2TM,615000
1180,,Ryan Russell,DE,TAM,615000
1181,,Adam Humphries,WR,TAM,615000
1182,,Jeff Heuerman,TE,DEN,615000
1183,,James Winchester,LS,KAN,615000
1184,,Bryce Petty,QB,NYJ,615000
1185,,Rontez Miles,FS,NYJ,615000
1186,1187,Maliek Collins,DT,DAL,612500
1187,1188,Deandre Coleman,DT,BUF,608820
1188,1189,Yannick Ngakoue,OLB,JAX,605041
1189,1190,Cody Kessler,QB,CLE,604049
1190,1191,Bronson Kaufusi,DE,BAL,603500
1191,1192,Jonathan Bullard,DE,CHI,599000
1192,1193,Kenyan Drake,RB,MIA,595000
1193,1194,Marcus Cromartie,CB,HOU,592647
1194,,Earl Watford,OG,ARI,592647
1195,,Shamarko Thomas,SS,BUF,592647
1196,,Michael Person,OL,IND,592647
1197,1198,Zach Line,FB,NOR,592644
1198,,Stevan Ridley,RB,PIT,592644
1199,1200,Dwight Freeney,DE,2TM,588235
1200,1201,Darian Thompson,FS,NYG,585000
1201,1202,Ahtyba Rubin,NT,2TM,582353
1202,,Leger Douzable,DT,SFO,582353
1203,1204,C.J. Spiller,RB,KAN,582253
1204,1205,Jacoby Brissett,QB,IND,580038
1205,1206,Akeem Hunt,RB,KAN,578824
1206,1207,Isaac Seumalo,OG,PHI,574000
1207,1208,KeiVarae Russell,CB,CIN,570000
1208,1209,Kenjon Barner,RB,PHI,568235
1209,1210,Shon Coleman,OT,CLE,568000
1210,1211,C.J. Prosise,RB,SEA,565000
1211,1212,Brandon Williams,CB,ARI,563500
1212,1213,Le'Raven Clark,OT,IND,563000
1213,1214,Nick Vannett,TE,SEA,562000
1214,1215,Jordan Jenkins,OLB,NYJ,560000
1215,,Leonte Carroo,WR,MIA,560000
1216,,Daryl Worley,CB,CAR,560000
1217,,Kyler Fackrell,OLB,GNB,560000
1218,,Javon Hargrave,DT,PIT,560000
1219,1220,Graham Glasgow,OG,DET,558500
1220,1221,Kendall Fuller,CB,WAS,557500
1221,,Braxton Miller,WR,HOU,557500
1222,1223,Rees Odhiambo,OG,SEA,553000
1223,1224,Gerald Hodges,OLB,NOR,547059
1224,1225,Bobby Rainey,RB,BAL,547056
